node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.961918,38.081638,2.501011,0.0
1,4,99999.961867,38.133151,2.37143,0.0
1,5,99999.961918,38.081638,0.0,0.0
1,6,99999.961918,38.081638,1.521826,0.0
1,8,99999.923734,76.266284,1.693368,0.0
1,9,99999.961918,38.081638,7.081389,0.0
1,13,99999.923731,76.269323,1.532912,0.0
1,14,99999.923837,76.163275,3.175974,0.0
1,17,99999.961918,38.081638,13.776779,0.0
1,21,99999.923731,76.269323,1.999855,0.0
1,22,99999.92384,76.160254,1.050353,0.0
1,24,99999.923834,76.166297,0.0,0.0
1,26,99999.923731,76.269323,0.85032,0.0
1,27,99999.961918,38.081638,6.381512,0.0
1,28,99999.92384,76.160254,1.620889,0.0
1,30,99999.923837,76.163276,0.0,0.0
1,32,99999.923834,76.166297,1.218915,0.0
1,39,99999.961868,38.131632,6.199241,0.0
1,41,99999.923837,76.163275,0.736952,0.0
1,45,99999.961865,38.134661,2.788782,0.0
2,3,99999.961864,38.136172,1.046658,0.0
2,4,99999.961811,38.189196,2.377152,0.0
2,7,99999.961865,38.134661,2.423167,0.0
2,25,99999.961862,38.137683,0.0,0.0
2,28,99999.961864,38.136172,1.778603,0.0
2,36,99999.923725,76.275366,6.296515,0.0
2,38,99999.961811,38.189196,2.784491,0.0
2,46,99999.961862,38.137683,0.0,0.0
3,23,99999.923834,76.166296,2.97606,0.0
4,5,99999.961864,38.136172,7.43413,0.0
4,6,99999.961862,38.137683,0.805974,0.0
4,7,99999.98096,19.040063,3.951073,4.166667
4,11,99999.961864,38.136172,6.447077,0.0
4,16,99999.961864,38.136172,9.385586,0.0
4,31,99999.961864,38.136172,6.286979,0.0
5,10,99999.923834,76.166296,1.26195,0.0
5,12,99999.961918,38.081638,1.291394,0.0
5,15,99999.923834,76.166296,4.250526,0.0
5,16,99999.961917,38.083148,7.40695,0.0
5,20,99999.923731,76.269306,2.907991,0.0
5,21,99999.923728,76.272344,0.0,0.0
5,35,99999.961915,38.084659,0.0,0.0
5,37,99999.961915,38.084659,5.644441,0.0
5,40,99999.923831,76.169318,4.308581,0.0
6,9,99999.923831,76.169318,11.94942,0.0
6,40,99999.961914,38.08617,6.92451,0.0
7,8,99999.961867,38.133142,2.832055,0.0
7,11,99999.96192,38.080127,7.554173,0.0
7,13,99999.961867,38.133151,9.927273,0.0
7,20,99999.961868,38.131632,0.825047,0.0
7,29,99999.961917,38.083149,3.304362,0.0
7,30,99999.961918,38.081638,0.0,0.0
7,32,99999.923837,76.163276,5.012512,0.0
7,35,99999.923837,76.163276,0.057101,0.0
7,41,99999.961918,38.081638,0.415087,0.0
7,43,99999.961921,38.078617,0.0,0.0
7,45,99999.923734,76.266302,5.927086,0.0
8,38,99999.961812,38.187677,3.825426,0.0
9,10,99999.923831,76.169318,13.287544,0.0
10,12,99999.923837,76.163275,6.332517,0.0
10,14,99999.961917,38.083148,0.912428,0.0
12,15,99999.923834,76.166296,3.595591,0.0
14,18,99999.961918,38.081638,3.996611,0.0
14,23,99999.923834,76.166296,6.522059,0.0
14,27,99999.923834,76.166296,5.905032,0.0
16,17,100000.0,0.0,9.690404,0.0
16,19,99999.961915,38.084659,7.689476,0.0
16,22,99999.923834,76.166296,3.594518,0.0
16,34,99999.961915,38.084659,5.11992,0.0
16,42,99999.923834,76.166296,5.990982,0.0
16,46,99999.923831,76.169318,6.059885,0.0
16,48,99999.961917,38.083148,5.464554,0.0
17,18,99999.961918,38.081638,7.292986,0.0
17,19,99999.961915,38.084659,2.791405,0.0
17,24,99999.961915,38.084659,5.72598,0.0
17,31,99999.961917,38.083148,11.153936,0.0
17,44,100000.0,0.0,3.63791,0.0
19,42,99999.923831,76.169318,0.0,0.0
20,25,99999.961864,38.136164,1.519561,0.0
20,33,99999.923728,76.272327,3.837705,0.0
21,33,99999.923725,76.275366,4.251599,0.0
22,26,99999.961864,38.136172,0.753999,0.0
22,36,99999.923831,76.169318,21.124363,0.0
23,29,99999.923828,76.17234,0.963926,0.0
23,47,99999.961915,38.084659,5.859971,0.0
24,48,99999.923831,76.169318,1.162529,0.0
26,37,99999.923725,76.275366,3.13592,0.0
33,34,99999.961914,38.08617,5.300879,0.0
33,43,99999.923834,76.166297,6.213665,0.0
34,39,99999.961864,38.136164,0.679493,0.0
35,47,99999.961914,38.08617,10.854125,0.0
40,44,99999.961862,38.137683,1.78957,0.0
